,0,1,Series
0,2012,948,"Imports of all grades of crude oil from OPEC to refineries in Alaska, Annual"
1,2009,357,"Imports of all grades of crude oil from OPEC to refineries in Alaska, Annual"
0,201208,474,"Imports of all grades of crude oil from OPEC to refineries in Alaska, Monthly"
1,201207,474,"Imports of all grades of crude oil from OPEC to refineries in Alaska, Monthly"
2,200907,357,"Imports of all grades of crude oil from OPEC to refineries in Alaska, Monthly"
0,2012,948,"Imports of light sweet crude oil from OPEC to refineries in Alaska, Annual"
1,2009,357,"Imports of light sweet crude oil from OPEC to refineries in Alaska, Annual"
0,201208,474,"Imports of light sweet crude oil from OPEC to refineries in Alaska, Monthly"
1,201207,474,"Imports of light sweet crude oil from OPEC to refineries in Alaska, Monthly"
2,200907,357,"Imports of light sweet crude oil from OPEC to refineries in Alaska, Monthly"
0,2020,1402,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
1,2019,960,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
2,2018,4902,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
3,2017,4856,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
4,2016,2438,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
5,2015,4117,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
6,2014,4559,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
7,2013,5141,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
8,2012,6697,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
9,2011,9877,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
10,2010,19841,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
11,2009,24817,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Annual"
0,202204,493,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly"
1,202006,501,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly"
2,202003,453,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly"
3,202001,448,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly"
4,201909,500,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly"
5,201906,460,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly"
6,201810,452,"Imports of all grades of crude oil from OPEC to refineries in Alabama, Monthly"
